"ubigeo","actasContabilizadas","contabilizadas","totalActas","participacionCiudadana","actasEnviadasJee","enviadasJee","actasPendientesJee","pendientesJee","fechaActualizacion","idUbigeoDepartamento","idUbigeoProvincia","idUbigeoDistrito","idUbigeoDistritoElectoral","totalVotosEmitidos","totalVotosValidos","porcentajeVotosEmitidos","porcentajeVotosValidos"
"020607",100,2,2,57.225,0,0,0,0,1781051880116,20000,20600,20607,NA,198,190,100,100
"020701",100,68,68,77.314,0,0,0,0,1781051880116,20000,20700,20701,NA,15380,13687,100,100
"020702",100,4,4,66.547,0,0,0,0,1781051880116,20000,20700,20702,NA,744,703,100,100
"020703",100,5,5,73.541,0,0,0,0,1781051880116,20000,20700,20703,NA,970,897,100,100
"020704",100,5,5,61.958,0,0,0,0,1781051880116,20000,20700,20704,NA,886,820,100,100
"020705",100,7,7,76.387,0,0,0,0,1781051880116,20000,20700,20705,NA,1336,1224,100,100
"020706",100,27,27,51.508,0,0,0,0,1781051880116,20000,20700,20706,NA,3620,3334,100,100
"020707",100,24,24,77.631,0,0,0,0,1781051880116,20000,20700,20707,NA,5157,4655,100,100
"020708",100,16,16,70.798,0,0,0,0,1781051880116,20000,20700,20708,NA,3159,2865,100,100
"020709",100,9,9,57.558,0,0,0,0,1781051880116,20000,20700,20709,NA,1367,1282,100,100
"020710",100,4,4,61.048,0,0,0,0,1781051880116,20000,20700,20710,NA,594,534,100,100
"020801",90.476,19,21,57.501,9.524,2,0,0,1781051880116,20000,20800,20801,NA,3350,3095,100,100
"020802",100,14,14,67.81,0,0,0,0,1781051880116,20000,20800,20802,NA,2648,2506,100,100
"020803",100,42,42,42.138,0,0,0,0,1781051880116,20000,20800,20803,NA,5006,4654,100,100
"020804",90.909,10,11,38.545,9.091,1,0,0,1781051880116,20000,20800,20804,NA,1171,1106,100,100
"020805",95.238,20,21,43.757,4.762,1,0,0,1781051880116,20000,20800,20805,NA,2439,2325,100,100
"020806",100,9,9,35.841,0,0,0,0,1781051880116,20000,20800,20806,NA,848,803,100,100
"020807",100,10,10,57.338,0,0,0,0,1781051880116,20000,20800,20807,NA,1512,1421,100,100
"020808",100,9,9,57.724,0,0,0,0,1781051880116,20000,20800,20808,NA,1177,1108,100,100
"020809",88.889,8,9,42.845,11.111,1,0,0,1781051880116,20000,20800,20809,NA,973,931,100,100
"020810",100,21,21,30.461,0,0,0,0,1781051880116,20000,20800,20810,NA,1803,1729,100,100
"020811",100,4,4,53.346,0,0,0,0,1781051880116,20000,20800,20811,NA,574,540,100,100
"020812",100,7,7,39.059,0,0,0,0,1781051880116,20000,20800,20812,NA,805,769,100,100
"020813",97.479,116,119,49.009,2.521,3,0,0,1781051880116,20000,20800,20813,NA,16424,15282,100,100
"020814",100,15,15,41.514,0,0,0,0,1781051880116,20000,20800,20814,NA,1678,1584,100,100
"020815",100,7,7,51.985,0,0,0,0,1781051880116,20000,20800,20815,NA,995,935,100,100
"020816",100,11,11,35.543,0,0,0,0,1781051880116,20000,20800,20816,NA,1008,940,100,100
